Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
-278246,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
-274319,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
-274083,00000121,false,Rx,0,8,8D,07,33,04,00,00,00,00,
-269733,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
-269485,00000111,false,Rx,0,8,00,00,00,00,00,00,00,00,
-268490,00000140,false,Rx,0,8,01,3C,00,00,BD,00,00,00,
-268238,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
-264311,00000120,false,Rx,0,8,0B,02,0E,00,DC,0E,22,39,
-264075,00000121,false,Rx,0,8,8F,07,33,04,00,00,00,00,
-259746,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
-259498,00000111,false,Rx,0,8,00,00,00,00,00,00,00,00,
-258493,00000140,false,Rx,0,8,01,3C,00,00,BD,00,00,00,
-258241,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
-254303,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
-254067,00000121,false,Rx,0,8,8F,07,33,04,00,00,00,00,
-249748,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
-249501,00000111,false,Rx,0,8,00,00,00,00,00,00,00,00,
-248496,00000140,false,Rx,0,8,01,3C,00,00,BD,00,00,00,
-248243,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
-244285,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
-244049,00000121,false,Rx,0,8,8D,07,33,04,00,00,00,00,
-239584,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
-239336,00000111,false,Rx,0,8,00,00,00,00,00,00,00,00,
-238487,00000140,false,Rx,0,8,01,3C,00,00,BD,00,00,00,
-238234,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
-234267,00000120,false,Rx,0,8,0B,02,0E,00,DC,0E,22,39,
-234031,00000121,false,Rx,0,8,8F,07,33,04,00,00,00,00,
-229753,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
-229496,00000111,false,Rx,0,8,00,00,00,00,00,00,00,00,
-228490,00000140,false,Rx,0,8,01,3C,00,00,BD,00,00,00,
-228237,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
-224258,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
-224022,00000121,false,Rx,0,8,8F,07,33,04,00,00,00,00,
-219744,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
-219498,00000111,false,Rx,0,8,00,00,00,00,00,00,00,00,
-218493,00000140,false,Rx,0,8,01,3C,00,00,BD,00,00,00,
-218239,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
-214240,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
-214003,00000121,false,Rx,0,8,8D,07,33,04,00,00,00,00,
-209745,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
-209499,00000111,false,Rx,0,8,00,00,00,00,00,00,00,00,
-208494,00000140,false,Rx,0,8,01,3C,00,00,BD,00,00,00,
-208240,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
-204231,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
-203994,00000121,false,Rx,0,8,8F,07,33,04,00,00,00,00,
-199747,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
-199501,00000111,false,Rx,0,8,00,00,00,00,00,00,00,00,
-198496,00000140,false,Rx,0,8,01,3C,00,00,BD,00,00,00,
-198242,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
-194213,00000120,false,Rx,0,8,0B,02,0E,00,DE,0E,22,39,
-193977,00000121,false,Rx,0,8,90,07,33,04,00,00,00,00,
-189760,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
-189513,00000111,false,Rx,0,8,00,00,00,00,00,00,00,00,
-188498,00000140,false,Rx,0,8,01,3C,00,00,BD,00,00,00,
-188245,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
-184205,00000120,false,Rx,0,8,0B,02,0E,00,DE,0E,22,39,
-183958,00000121,false,Rx,0,8,8D,07,33,04,00,00,00,00,
-179743,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
-179496,00000111,false,Rx,0,8,00,00,00,00,00,00,00,00,
-178501,00000140,false,Rx,0,8,01,3C,00,00,BD,00,00,00,
-178247,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
-174186,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
-173949,00000121,false,Rx,0,8,8F,07,33,04,00,00,00,00,
-169754,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
-169508,00000111,false,Rx,0,8,00,00,00,00,00,00,00,00,
-168492,00000140,false,Rx,0,8,01,3C,00,00,BD,00,00,00,
-168249,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
-164168,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
-163931,00000121,false,Rx,0,8,91,07,33,04,00,00,00,00,
-159756,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
-159509,00000111,false,Rx,0,8,00,00,00,00,00,00,00,00,
-158504,00000140,false,Rx,0,8,01,3C,00,00,BD,00,00,00,
-158251,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
-154158,00000120,false,Rx,0,8,0B,02,0E,00,DE,0E,22,39,
-153922,00000121,false,Rx,0,8,8E,07,33,04,00,00,00,00,
-149748,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
-149501,00000111,false,Rx,0,8,00,00,00,00,00,00,00,00,
-148496,00000140,false,Rx,0,8,01,3C,00,00,BD,00,00,00,
-148243,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
-144151,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
-143904,00000121,false,Rx,0,8,90,07,33,04,00,00,00,00,
-139626,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
-139379,00000111,false,Rx,0,8,00,00,00,00,00,00,00,00,
-138497,00000140,false,Rx,0,8,01,3C,00,00,BD,00,00,00,
-138253,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
-134131,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
-133894,00000121,false,Rx,0,8,92,07,33,04,00,00,00,00,
-129751,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
-129505,00000111,false,Rx,0,8,00,00,00,00,00,00,00,00,
-128499,00000140,false,Rx,0,8,01,3C,00,00,BD,00,00,00,
-128246,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
-124124,00000120,false,Rx,0,8,0B,02,0E,00,DE,0E,22,39,
-123877,00000121,false,Rx,0,8,8F,07,33,04,00,00,00,00,
-119755,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
-119508,00000111,false,Rx,0,8,00,00,00,00,00,00,00,00,
-118503,00000140,false,Rx,0,8,01,3C,00,00,BD,00,00,00,
-118249,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
-114105,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
-113869,00000121,false,Rx,0,8,90,07,33,04,00,00,00,00,
-109755,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
-109508,00000111,false,Rx,0,8,00,00,00,00,00,00,00,00,
-108503,00000140,false,Rx,0,8,01,3C,00,00,BD,00,00,00,
-108250,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
-104096,00000120,false,Rx,0,8,0B,02,0E,00,DC,0E,22,39,
-103849,00000121,false,Rx,0,8,92,07,33,04,00,00,00,00,
-99748,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
-99501,00000111,false,Rx,0,8,00,00,00,00,00,00,00,00,
-98496,00000140,false,Rx,0,8,01,3C,00,00,BD,00,00,00,
-98253,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
-94079,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
-93841,00000121,false,Rx,0,8,90,07,33,04,00,00,00,00,
-89760,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
-89514,00000111,false,Rx,0,8,00,00,00,00,00,00,00,00,
-88498,00000140,false,Rx,0,8,01,3C,00,00,BD,00,00,00,
-88255,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
-84059,00000120,false,Rx,0,8,0B,02,0E,00,DE,0E,22,39,
-83822,00000121,false,Rx,0,8,90,07,33,04,00,00,00,00,
-79752,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
-79505,00000111,false,Rx,0,8,00,00,00,00,00,00,00,00,
-78500,00000140,false,Rx,0,8,01,3C,00,00,BD,00,00,00,
-78257,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
-74052,00000120,false,Rx,0,8,0B,02,0E,00,DE,0E,22,39,
-73814,00000121,false,Rx,0,8,93,07,33,04,00,00,00,00,
-69745,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
-69498,00000111,false,Rx,0,8,00,00,00,00,00,00,00,00,
-68502,00000140,false,Rx,0,8,01,3C,00,00,BD,00,00,00,
-68250,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
-64034,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
-63797,00000121,false,Rx,0,8,90,07,33,04,00,00,00,00,
-59758,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
-59511,00000111,false,Rx,0,8,00,00,00,00,00,00,00,00,
-58495,00000140,false,Rx,0,8,01,3C,00,00,BD,00,00,00,
-58243,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
-54016,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
-53779,00000121,false,Rx,0,8,90,07,33,04,00,00,00,00,
-49761,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
-49514,00000111,false,Rx,0,8,00,00,00,00,00,00,00,00,
-48508,00000140,false,Rx,0,8,01,3C,00,00,BD,00,00,00,
-48256,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
-44008,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
-43771,00000121,false,Rx,0,8,93,07,33,04,00,00,00,00,
-39586,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
-39338,00000111,false,Rx,0,8,00,00,00,00,00,00,00,00,
-38498,00000140,false,Rx,0,8,01,3C,00,00,BD,00,00,00,
-38246,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
-34000,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
-33752,00000121,false,Rx,0,8,90,07,33,04,00,00,00,00,
-29765,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
-29518,00000111,false,Rx,0,8,00,00,00,00,00,00,00,00,
-28512,00000140,false,Rx,0,8,01,3C,00,00,BD,00,00,00,
-28259,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
-23981,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
-23744,00000121,false,Rx,0,8,90,07,33,04,00,00,00,00,
-19757,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
-19510,00000111,false,Rx,0,8,00,00,00,00,00,00,00,00,
-18504,00000140,false,Rx,0,8,01,3C,00,00,BD,00,00,00,
-18252,00000141,false,Rx,0,8,00,00,00,00,00,00,00,05,
-13962,00000120,false,Rx,0,8,0B,02,0E,00,DD,0E,22,39,
-13726,00000121,false,Rx,0,8,93,07,33,04,00,00,00,00,
-9759,00000110,false,Rx,0,8,95,07,01,00,00,00,00,00,
-9513,00000111,false,Rx,0,8,00,00,00,00,00,00,00,00,
